Questions,GroundTruth
"A financial analytics company stores large CSV files containing transaction data in an Amazon S3 bucket. They need to implement a solution that allows their data engineers to run SQL queries directly on these CSV files stored in S3, without the need for additional data transformation or loading into a database. Which AWS service should the company use to query CSV files directly in the S3 bucket?

A. Use Amazon Redshift Spectrum to execute SQL queries on CSV files in S3.
B. Use AWS Data Pipeline to transfer CSV data from S3 to Amazon RDS for querying.
C. Use Amazon Athena to run SQL queries directly on the CSV files stored in S3.
D. Use Amazon EMR with a Hive metastore to query the CSV files in the S3 bucket.",C
"A data engineer needs to reformat newly acquired .csv data in an S3 bucket for more efficient analytics. The data includes timestamps, and older data is removed daily. What is the most cost-effective AWS solution to transform and optimize this data for query performance?

A.Use AWS Glue to convert the .csv data to Apache Parquet and partition it by timestamp.

B. Run an Athena CTAS query to convert the data to Parquet format with Snappy compression, partitioned by timestamp.

C. Configure an EMR Spark job to transform the .csv files into Parquet, partitioned by the creation timestamp.

D. Set up a daily Lambda function to convert and partition the .csv data into Parquet format within S3.",B
"An organization is creating a data lake on AWS and requires granular access control. They need to grant specific users access to certain rows and columns within their datasets. The organization's teams will query the data using a combination of Amazon Athena, Amazon Redshift Spectrum, and Apache Hive on Amazon EMR. Which AWS service should the organization implement to manage data permissions efficiently?

A. Manage access through S3 bucket policies and IAM roles for row and column-level security.

B. Deploy Apache Ranger on Amazon EMR for granular access control and utilize Amazon Redshift for querying.

C. Use Redshift security groups and views for row and column-level permissions, querying with Athena and Redshift Spectrum.

D. Use AWS Lake Formation to define fine-grained data access policies and facilitate queries through supported AWS services.",D
"A corporation utilizes an Amazon Redshift provisioned cluster for its data warehousing needs. The cluster is composed of four ra3.4xlarge nodes and employs even distribution. The data engineering team observes that during peak loads, the query performance is suboptimal. While one node is consistently at high CPU utilization, the others are significantly underutilized. The team aims to optimize the workload distribution across all nodes without altering the cluster size.


What strategy should the data engineering team implement to achieve a more uniform load distribution across the four nodes?

 
 
A. Convert the cluster to use Elastic Resize to add more nodes during peak loads and remove them when not needed.

 
 
B. Adjust the WLM (Workload Management) configuration to prioritize queries differently across the nodes.

 
 
C. Transition to using a compound sort key based on the columns most frequently used in JOIN clauses.

 
 
D. Redefine the distribution style to KEY using a column with high cardinality that is frequently joined on.",D
"A software development company is looking to enhance the performance of its cloud infrastructure by transitioning its Amazon EBS Provisioned IOPS SSD storage (io1) to the newer io2 volumes. The company needs to ensure that the transition does not disrupt their running Amazon EC2 instances or risk data loss.


What approach should a data engineer take to upgrade their storage with minimal operational effort?

 
 
A. Utilize Amazon EBS direct APIs to copy data from io1 to newly provisioned io2 volumes, then swap the volumes on the EC2 instances.

 
 
B. Provision new io2 volumes and incrementally copy data from io1 volumes using an EC2-based file copy tool, then detach io1 and attach io2 volumes to the instances.

 
 
C. Implement AWS Storage Gateway to facilitate the data transfer from io1 to io2 volumes, then update the instance configurations to utilize the new volumes.

 
 
D. Modify the volume type of the existing io1 volumes to io2 through the AWS Management Console or CLI without detaching them from the EC2 instances.",D
"A data engineering team needs to manage and query a continuously evolving dataset of customer transactions stored in Amazon S3. They use Amazon Athena for querying and require an automated solution to handle schema changes in the dataset.


What AWS service should the team use to efficiently manage the schema and ensure seamless integration with Athena for updated data queries?

 
 
A. Implement AWS Data Pipeline for automated data transfer and schema updates.

 
 
B. Use AWS Glue Data Catalog for schema management and metadata storage.

 
 
C. Configure Amazon Redshift Spectrum to manage schema changes.

 
 
D. Apply Amazon RDS for automated database management and schema updates.",B
"An analytics team at a retail corporation is looking to process their vast amounts of transactional data stored in Amazon S3 using complex analytical queries. The team plans to use Amazon EMR with Apache Hive for their batch processing needs. They require a metadata management system that will allow them to define, organize, and query their data structure.


What component should the team implement within their Amazon EMR environment to manage their metadata effectively and ensure compatibility with Hive?

 
 
A. Deploy an Amazon RDS instance configured as an external Hive Metastore for the EMR cluster.

 
 
B. Implement Amazon DynamoDB to store and manage Hive metadata for EMR processing tasks.

 
 
C. Use the EMR File System (EMRFS) to handle Hive metadata alongside the transactional data in S3.

 
 
D. Configure the EMR cluster to use the Glue Data Catalog as a drop-in replacement for the Hive Metastore.",D
"A retail company uses Amazon Aurora to manage inventory data. The company's Aurora DB cluster resides in a private subnet. A team member has created an AWS Lambda function to manage inventory levels within the Aurora DB cluster. To maintain data security, the company wants to ensure that this Lambda function can access the Aurora DB cluster only through the private network.



What steps should be taken to enable private connectivity from the Lambda function to the Aurora DB cluster with minimal administrative effort? (Select TWO.)

 
 
A. Enable the private DNS name feature for the Aurora DB cluster endpoint.

 
 
B. Modify the security group of the Aurora DB cluster to allow incoming connections on the appropriate port from the Lambda function.

 
 
C. Deploy the Lambda function within a public subnet and configure a NAT Gateway for outbound connections.

 
 
D. Ensure the Lambda function is configured to run in the same VPC as the Aurora DB cluster, within a private subnet.

 
 
E. Implement VPC peering between the VPC containing the Lambda function and the VPC containing the Aurora DB cluster.",BD
"An analytics team frequently runs complex Amazon Athena queries on a dataset stored in an Amazon S3 bucket, with AWS Glue Data Catalog serving as the metadata repository. They've identified a slowdown in Athena query plans and attribute it to the excessive number of S3 partitions. The team needs to enhance query performance and reduce the time Athena takes in query planning.


Which two measures should the team take to meet these performance goals? (Select TWO.)

 
 
A. Implement AWS Glue Elastic Views to automate partition management.

 
 
B. Transform the data that is in the S3 bucket to Apache Parquet format.

 
 
C. Employ Athena's partition projection for dynamic partitioning based on common query patterns.

 
 
D. Use Athena DML statements to reorganize data into fewer, more meaningful partitions.

 
 
E. Merge small S3 objects into larger ones using AWS Glue's data transformation jobs.",BC
"A data engineer is tasked with setting up a schedule for running AWS Glue ETL jobs daily where the exact timing of job execution is not critical. The primary goal is to minimize the operational costs of these ETL jobs. What configuration option should the data engineer choose to optimize for cost without a specific requirement on job completion times?


 
 
A. Enable job bookmarking in AWS Glue job properties to ensure incremental data processing.


 
 
B. Select the 'Job Timeout' option in AWS Glue job properties and set a longer duration to allow for cost-effective resource utilization.


 
 
C. Choose the 'FLEX' execution class in the AWS Glue job properties to leverage spot capacity for running jobs.


 
 
D. Apply a 'Job Delay' within AWS Glue job properties to schedule execution during non-peak hours for potential cost savings.",C
