Questions,GroundTruth
"You have an ELT solution that uses an Azure Storage account named datastg, an Azure HDInsight cluster, and an Azure Data Factory resource.

You create a Data Factory pipeline by using the following JSON file.

{
  ""name"": ""MyHiveActivity"",
  ""type"": ""HDInsightHive"",
  ""linkedServiceName"": {
    ""referenceName"": ""MyHDILinkedService"",
    ""type"": ""LinkedServiceReference""
  },
  ""typeProperties"": {
    ""scriptPath"": ""adftutorial\\hivescripts\\hivescript.hql"",
    ""getDebugInfo"": ""Failure"",
    ""defines"": {           
      ""Output"": """"
    },
    ""scriptLinkedService"": {
      ""referenceName"": ""MyStorageLinkedService"",
      ""type"": ""LinkedServiceReference""
    }
  }
}
You create the following Apache Hive script.

DROP TABLE IF EXISTS Devices; 
CREATE EXTERNAL TABLE Devices (clientid string, market string, devicemodel string, state string)
ROW FORMAT DELIMITED FIELDS TERMINATED BY ' ' 
STORED AS TEXTFILE LOCATION '${hiveconf:Output}';

INSERT OVERWRITE TABLE HiveSampleOut
Select 
  clientid,
  market,
  devicemodel,
  state
FROM devicestable
You need to run the script as an activity in the Data Factory pipeline. The solution must write the output of the script to a folder named devices in a container named data in the storage account.

What should you add to the Output value in the JSON file?

Select only one answer.

A. http://data@datastg.blob.core.windows.net/devices/

B. http://datastg.blob.core.windows.net/data/devices/

C. wasb://data@datastg.blob.core.windows.net/devices/

D. wasb:/datastg.blob.core.windows.net/data/devices/",C
"You create a data flow activity in an Azure Synapse Analytics pipeline.

You plan to use the data flow to read data from a fixed-length text file.

You need to create the columns from each line of the text file. The solution must ensure that the data flow only writes three of the columns to a CSV file.

Which three types of tasks should you add to the data flow activity? Each correct answer presents part of the solution.

Select all answers that apply.

A. aggregate

B. derived column

C. flatten

D. select

E. sink",BDE
"You create a data flow activity in an Azure Data Factory pipeline.

You need to execute a select task and write the output to multiple columns across multiple sinks.

Which type of task should you add from the select task?

Select only one answer.

A. conditional split

B. new branch

C. pivot

D. unpivot",B
"You have an Azure Data Factory pipeline that uses Apache Spark to transform data.

You need to run the pipeline.

Which PowerShell cmdlet should you run?

Select only one answer.

A. `Invoke-AzDataFactoryV2Pipeline`

B. Invoke-AzureDataFactoryV2Pipeline

C. Start-AzDataFactoryV2Pipeline

D. Start-AzureDataFactoryV2Pipeline",A
"You design an Azure Data Factory pipeline that has a data flow activity named Move to Synapse and an append variable activity named Upon failure. Upon failure runs upon the failure of Move to Synapse.

You notice that if the Move to Synapse activity fails, the pipeline status is successful.

You need to ensure that if Move to Synapse fails, the pipeline status is failed. The solution must ensure that Upon Failure executes when Move to Synapse fails.

What should you do?

Select only one answer.

A. Add a new activity with a Failure predecessor to Upon Failure.

B. Add a new activity with a Success predecessor to Move to Synapse.

C. Change the precedence for Upon Failure to Completion.

D. Change the precedence for Upon Failure to Success.",B
"You are developing an Azure Databricks solution.

You need to ensure that workloads support PyTorch code. The solution must minimize costs.

Which workload persona should you use?

Select only one answer.

A. Data Science and Engineering

B. Machine Learning

C. SQL",B
"You have an Azure Databricks cluster.

You need to stage files into the shared cluster storage by using a third-party tool.

Which file system should the tool support?

Select only one answer.

A. DBFS

B. NTFS

C. ReFS

D. OraFS",A
"You are writing a data import task in Azure Data Factory.

You need to increase the number of rows per call to the REST sink

What should you change?

Select only one answer.

A. requestInterval to 500

B. requestInternal to 10,000

C. writeBatchSize to 1,000

D. writeBatchSize to 100,000",D
"You have an Azure Stream Analytics solution that receives data from multiple thermostats in a building.

You need to write a query that returns the average temperature per device every five minutes for readings within that same five minute period.

Which two windowing functions could you use?

Select all answers that apply.

A. HoppingWindow

B. SessionWindow

C. `SlidingWindow`

D. TumblingWindow",AD
"You create an Azure Stream Analytics job. You run the job for five hours.

You review the logs and notice multiple instances of the following message.

{""message Time"":""2019-02-04 17:11:52Z"",""error"":null, ""message"":""First Occurred: 02/04/2019 17:11:48 | Resource Name: ASAjob | Message: Source 'ASAjob' had 24 data errors of kind 'LateInputEvent' between processing times '2019-02-04T17:10:49.7250696Z' and '2019-02-04T17:11:48.7563961Z'. Input event with application timestamp '2019-02-04T17:05:51.6050000' and arrival time '2019-02-04T17:10:44.3090000' was sent later than configured tolerance."",""type"":""DiagnosticMessage"",""correlation ID"":""49efa148-4asd-4fe0-869d-a40ba4d7ef3b""}
You need to ensure that these events are not dropped.

What should you do?

Select only one answer.

A. Decrease the number of Streaming Units (SUs) to 3.

B. Increase the number of Streaming Unit (SUs) for the job to 12.

C. Increase the tolerance for late arrivals.

D. Increase the tolerance for out-of-order events.",C
"You have an Azure Stream Analytics job named Job1.

Job1 runs continuously and executes non-parallelized queries.

You need to minimize the impact of Azure node updates on Job1. The solution must minimize costs.

To what should you increase the Scale Units (SUs)?

Select only one answer.

A. 2

B. 3

C. 6

D. 12",D
"You are building a real-time streaming process in Azure Data Factory.

You need to aggregate the data being processed by the stream.

Which stage of the integration pattern should you configure?

Select only one answer.

A. Extract

B. Load

C. transform

D. Upsert",C
"Which Azure Data Factory components should you use to connect to a data source?

Select only one answer.

A. a dataset

B. a linked service

C. a pipeline

D. an activity

E. an aggregation",B
"You have an Azure Data Factory named datafactory1.

You configure datafacotry1 to use Git for source control.

You make changes to an existing pipeline.

When you try to publish the changes, you notice the following message displayed when you hover over the Publish All button.

Publish from ADF Studio is disabled to avoid overwriting automated deployments. If required you can change publish setting in Git configuration.

You need to allow publishing from the portal.

What should you do?

Select only one answer.

A. Change the Automated publish config setting.

B. Select **Override live mode** in the Git Configuration.

C. Use a Git client to merge the collaboration branch into the live branch.

D. Use the browser to create a pull request.",A 
"You have an Azure Data Factory pipeline named Pipeline1.

You need to send an email message if Pipeline1 fails.

What should you do?

Select only one answer.

A. Create a fail activity in the pipeline and set a Failure predecessor on the activity for the last activity in Pipeline1.

B. Create a metric in the Data Factory resource.

C. Create an alert in the Data Factory resource.

D. Create an if condition activity in the pipeline and set a Failure predecessor on the activity for the last activity in Pipeline1.",C
"You are testing a change to an Azure Data Factory pipeline.

You need to check the change into source control without affecting other users’ work in the data factory.

What should you do?

Select only one answer.

A. Save the change to a forked branch in the source control project.

B. Save the change to the master branch of the source control project.

C. Save the changed pipeline to your workstation.",A
"You are configuring Azure Data Factory to be used in a CI/CD deployment process.

You need to minimize the administrative tasks required by using global parameters.

Which global parameters should you configure?

Select only one answer.

A. execution schedule

B. server names within a connection object

C. sink task name

D. target database version number",B
"Your company has a branch office that contains a point of sale (POS) system.

You have an Azure subscription that contains a Microsoft SQL Server database named DB1 and an Azure Synapse Analytics workspace.

You plan to use an Azure Synapse pipeline to copy CSV files from the branch office, perform complex transformations on their content, and then load them to DB1.

You need to pass a subset of data to test whether the CSV columns are mapped correctly.

What can you use to perform the test?

Select only one answer.

A. Data Flow Debug

B. Datasets

C. integration runtime

D. linked service",A
"You have an Azure Synapse Analytics data pipeline.

You need to run the pipeline at scheduled intervals.

What should you configure?

Select only one answer.

A. a control flow

B. a sink

C. a trigger

D. an activity",C
