Questions,GroundTruth
"Which type of Azure Storage is used to store large amounts of files to be shared with virtual machines by using SMB?

Select only one answer.

A. Azure Data Lake Storage Gen2

B. Azure Files

C. Azure Storage page blobs

D. Azure Table storage",B
"Which Azure Blob storage access tier should you use for data that will be used once per year and can have an access time that takes more than an hour?

Select only one answer.

A. Archive

B. Cool

C. Hot",A
"What are two characteristics of Azure Table storage? Each correct answer presents a complete solution.

Select all answers that apply.

A. Each RowKey value is unique within a table.

B. Each RowKey value is unique within a table partition.

C. Items in the same partition are stored in a RowKey order.

D. Tables use indexes to speed up queries.",BC
"You need to replace an existing on-premises SMB shared folder with a cloud solution.

Which storage option should you choose?

Select only one answer.

A. Azure Blob storage

B. Azure Data Lake Storage

C. Azure Files

D. Azure Table storage",C
"Which Azure Cosmos DB API should you use for data in a graph structure?

Select only one answer.

A. Apache Cassandra

B. Apache Gremlin

C. MongoDB

D. Table",B 
"Which Azure Cosmos DB API should you use for data in the BSON format?

Select only one answer.

A. Apache Cassandra

B. Apache Gremlin

C. MongoDB

D. Table",C
"Which Azure Cosmos DB API should you use for data in key/value tables?

Select only one answer.

A. Apache Cassandra

B. Apache Gremlin

C. MongoDB

D. Table",D
"You need to process many JSON files every minute, while keeping the data from the files accessible by using native queries.

Which Azure Cosmos DB API should you use?

Select only one answer.

A. Apache Cassandra

B. Apache Gremlin

C. NoSQL

D. Table",C
"Which storage solution allows you to aggregate data stored in JSON files for use in analytical reports without additional development effort?

Select only one answer.

A. Azure Blob storage

B. Azure Cosmos DB

C. Azure Data Lake Storage

D. Azure SQL Database",B
"Which Azure Cosmos DB API allows you to work with vertices and edges?

Select only one answer.

A. Apache Cassandra

B. Apache Gremlin

C. NoSQL

D. Table",B 
"Which type of data structure should you use to optimize create, read, update, and delete (CRUD) operations for data saved in a multi-column tabular format?

Select only one answer.

A. document database

B. graph database

C. key/value store

D. relational database",D
"Which type of data structure allows you to store data in a two-column format without requiring a complex database management system?

Select only one answer.

A. document database

B. graph database

C. key/value store

D. relational database",C
"Which Azure data service allows you to store images, PDF files, and static JSON files?

Select only one answer.

A. Azure Cosmos DB for Apache Gremlin

B. Azure Blob storage

C. Azure SQL Database

D. Azure Table storage",B
"Which type of database should you use to store sequential data in the fastest way possible?

Select only one answer.

A. Azure SQL Database

B. Azure Table storage

C. Graph Database

D. Time series database",D
"You design an application that needs to store data based on the following requirements:

Store historical data from multiple data sources.
Load data on a scheduled basis.
Use a denormalized star or snowflake schema.
Which type of database should you use?

Select only one answer.

A. Azure Table storage

B. Graph Database

C. OLAP Database

D. OLTP Database",C 
"Which two types of file store data in columnar format? Each correct answer presents a complete solution.

Select all answers that apply.

A. Avro

B. CSV

C. Parquet

D. ORC",CD
"Which Azure Cosmos DB API allows you to implement a non-relational database and model nodes that have relationships between them?

Select only one answer.

A. Apache Gremlin

B. MongoDB

C. NoSQL

D. Table",A 
"Which two attributes are characteristics of a transactional data workload? Each correct answer presents a complete solution.

Select all answers that apply.

A. highly denormalized

B. highly normalized

C. optimized for create, read, update, and delete (CRUD) operations

D. optimized for read operations",BC
"What are three properties of analytical data workloads? Each correct answer presents a complete solution.

Select all answers that apply.

A. Read and write operations are optimized.

B. Read operations are optimized.

C. They calculate business metrics over time.

D. They operate on current data.

E. They operate on historical data.",ABD
"Which feature of transactional data processing guarantees that concurrent processes cannot see the data in an inconsistent state?

Select only one answer.

A. atomicity

B. consistency

C. durability

D. isolation",D
"Which job role is responsible for designing database solutions, creating databases, and developing stored procedures?

Select only one answer.

A. database administrator

B. database analyst

C. database engineer

D. database user",C
"Which job role is responsible for troubleshooting index performance, provisioning access to databases, and backing up databases?

Select only one answer.

A. database administrator

B. database analyst

C. database engineer

D. database user",A 
"Which job role is responsible for creating reports from a database and using OLAP cubes?

Select only one answer.

A. database administrator

B. database analyst

C. database engineer

D. database user",B 
